ins,additive_name,food_category_code,food_category,max_level,limit_type,note,page
955,Sucralose,,,580 mg/kg,numeric,,87
,ASCORBYL,1.5.1,"Milk powder
and cream
powder
(plain)",500 mg/kg,numeric,10,87
320,Butylated,1.5.1,"Milk powder
and cream
powder
(plain)",100 mg/kg,numeric,"15, 196",87
321,Butylated,1.5.1,"Milk powder
and cream
powder
(plain)",200 mg/kg,numeric,"15, 196",87
556,Calcium,,,265 mg/kg,numeric,"6, 259",88
472e,Diacetyltartaric,,,"10,000 mg/kg",numeric,,88
,PHOSPHATES,,,"3,000 mg/kg",numeric,33,88
900a,Polydimethylsilox,,,10 mg/kg,numeric,,88
310,Propyl gallate,,,200 mg/kg,numeric,,88
554,Sodium alumino,,,265 mg/kg,numeric,,88
,ASCORBYL,1.5.2,"Powder
analogues",80 mg/kg,numeric,10,88
950,Acesulfame,1.5.2,"Powder
analogues","1,000 mg/kg",numeric,188,88
951,Aspartame,1.5.2,"Powder
analogues","2,000 mg/kg",numeric,191,88
,CAROTENOID,1.5.2,"Powder
analogues",100 mg/kg,numeric,209,88
556,Calcium,1.5.2,"Powder
analogues",570 mg/kg,numeric,"6, 259",88
150c,Caramel III -,1.5.2,"Powder
analogues","5,000 mg/kg",numeric,,88
150d,Caramel IV -,1.5.2,Caramel IV -,"5,000 mg/kg",numeric,,88
160a(ii),"beta-Carotenes,",,,"1,000 mg/kg",numeric,,89
472e,Diacetyltartaric,,,"10,000 mg/kg",numeric,,89
163(ii),Grape skin extract,,Grape skin extract,150 mg/kg,numeric,"201,",89
961,Neotame,,Grape skin extract,65 mg/kg,numeric,,89
,PHOSPHATES,,PHOSPHATES,"4,400 mg/kg",numeric,"88,",89
,POLYSORBAT,,PHOSPHATES,"4,000 mg/kg",numeric,,89
477,Propylene glycol,,PHOSPHATES,GMP,gmp,,89
,RIBOFLAVINS,,PHOSPHATES,300 mg/kg,numeric,,89
554,Sodium alumino,,PHOSPHATES,570 mg/kg,numeric,"6, 259",89
960,Steviol glycosides,,Steviol glycosides,330 mg/kg,numeric,"26, 201",89
951,Aspartame,1.6.1,"Unripened
cheese","1,000 mg/kg",numeric,191,89
,CAROTENOID,1.6.1,"Unripened
cheese",100 mg/kg,numeric,,89
,CHLOROPHYL,1.6.1,"Unripened
cheese",50 mg/kg,numeric,,89
161g,Canthaxanthin,,,15 mg/kg,numeric,201,90
150d,Caramel IV -,,,"50,000 mg/kg",numeric,"50,000",90
132,Indigotine (Indigo,,,200 mg/kg,numeric,3,90
243,Lauric arginate,,,200 mg/kg,numeric,,90
235,Natamycin,,,40 mg/kg,numeric,"80, 3",90
,PHOSPHATES,,,"4,400 mg/kg",numeric,33,90
,POLYSORBAT,,,80 mg/kg,numeric,38,90
124,Ponceau 4R,,Ponceau 4R,100 mg/kg,numeric,3,90
,RIBOFLAVINS,,Ponceau 4R,300 mg/kg,numeric,,90
,SORBATES,,,"2,000 mg/kg",numeric,"42, 223",91
234A,Nisin,,,12.5 mg/kg,numeric,,91
,"Propionic acid,
sodium
propionate,",,,"3,000 mg/kg",numeric,,91
575,"Glucono delta
lactone",,,GMP,gmp,,92
110,Sunset yellow,,,100 mg/kg,numeric,3,92
509,Calcium chloride,,Calcium chloride,200 mg/kg,numeric,,92
160a(ii),"beta-Carotenes,
vegetable",,,600 mg/kg,numeric,,93
407,Carrageenan,,,"5,000 mg/kg",numeric,,93
,"Alginate of
sodium/potassium
/calcium",,,"5,000 mg/kg",numeric,,93
405,Propylene glycol,,,5000 mg/kg,numeric,,93
160c,Paprika extract,,,GMP,gmp,,93
100,Curcumin,,,GMP,gmp,,93
160b,Annatto,,Annatto,GMP,gmp,,93
161g,Canthaxanthin,1.6.2,"Ripened
cheese,
(Cheddar,Da
nbo,Edam,Go
uda,Havarti,
Tilisiter,Cam
embert,
Brie,St
Paulin,
Samsoe,Emm
entaler,
Provolone,ext",15 mg/kg,numeric,201,93
1105,Lysozyme,1.6.2,"Ripened
cheese,
(Cheddar,Da
nbo,Edam,Go
uda,Havarti,
Tilisiter,Cam
embert,
Brie,St
Paulin,
Samsoe,Emm
entaler,
Provolone,ext",GMP,gmp,,93
